Chromosome	startPosition	endPosition	typeNotZero	nrOfStateA	nrOfStateB	nrOfStateC	stateAToA	stateBToB	stateCToC	stateAToB	stateAToC	stateBToA	stateBToC	stateCToA	stateCToB	nrOfPolyType1	nrOfPolyType2	nrOfPolyType3	nrOfPolyType1And2	nrOfPolyType1And3	nrOfPolyType2And3	
1	6160952	6229642	295	10	34	5	4	26	1	3	3	6	1	0	4	270	23	62	1	1	3	
1	6229750	6295326	248	3	21	26	0	15	22	3	0	2	4	1	2	280	22	58	2	2	0	
1	6295417	6349614	318	13	5	4	8	0	1	3	1	3	2	1	2	356	105	210	37	37	16	
1	6349763	6416329	259	12	14	19	6	7	10	1	5	3	4	2	6	265	12	116	0	0	0	
1	6416358	6477296	322	6	22	8	1	18	3	2	3	3	1	2	2	365	25	22	10	10	3	
1	6477347	6553493	249	5	14	6	3	9	2	1	0	1	4	1	3	309	76	23	18	18	0	
1	6553517	6617529	250	3	12	3	1	8	0	1	1	1	2	1	2	276	51	77	6	6	4	
1	6617588	6687526	285	3	10	28	0	5	20	0	3	0	5	3	4	308	31	13	2	2	0	
1	6687649	6765794	274	6	8	4	2	2	2	3	1	4	1	0	2	414	146	27	62	62	4	
1	6765836	6827437	175	2	5	9	0	3	6	0	2	1	0	1	2	323	188	18	86	86	4	
1	6827467	6903300	316	12	3	4	6	0	1	3	2	3	0	3	0	376	36	112	5	5	0	
1	6903317	6977042	267	9	12	13	4	6	8	2	2	3	3	2	3	306	40	67	3	3	0	
1	6977055	7052895	252	5	16	3	1	9	0	4	0	4	2	0	3	303	185	34	36	36	0	
1	7053002	7121915	285	13	12	4	9	6	1	4	0	2	3	1	2	360	196	27	61	61	2	
1	7122036	7180306	325	27	19	15	19	10	7	4	4	4	4	4	4	342	60	59	5	5	1	
1	7180470	7248005	327	12	14	8	8	9	3	2	2	2	3	2	2	395	44	90	3	3	1	
1	7248108	7302243	277	9	34	11	5	28	7	2	2	4	1	0	4	295	63	129	16	16	4	
1	7302261	7365641	257	6	15	7	1	9	2	3	2	2	3	2	3	258	90	172	17	17	12	
1	7365660	7428995	236	4	6	15	2	3	10	0	2	1	2	1	3	265	65	136	6	6	2	
1	7429062	7482865	233	7	20	11	2	11	5	5	0	4	5	1	4	246	134	61	44	44	18	
1	7482918	7551576	252	6	22	14	2	16	7	3	1	1	5	3	3	268	62	77	17	17	0	
1	7551630	7619731	248	17	25	24	11	20	17	2	4	1	3	4	3	234	10	114	0	0	1	
1	7619732	7690420	246	9	10	3	5	7	0	2	2	1	1	2	1	293	53	190	2	2	1	
1	7690433	7753386	275	1	49	4	0	44	0	1	0	0	4	1	3	283	8	118	1	1	2	
1	7753407	7818561	254	4	14	0	1	10	0	3	0	3	0	0	0	285	17	160	0	0	0	
1	7818632	7884536	267	16	21	9	8	13	4	5	2	5	3	2	3	251	55	118	11	11	12	
1	7884546	7948928	266	14	6	2	12	3	0	1	0	1	2	1	1	304	17	285	1	1	8	
1	7948945	8019254	219	4	7	21	0	3	19	2	1	3	1	1	1	210	26	265	2	2	3	
1	8019286	8085194	215	28	18	25	21	11	18	5	1	1	6	5	2	181	29	32	2	2	0	
1	8085205	8155423	283	21	17	20	10	7	14	8	2	7	3	4	2	295	42	16	6	6	0	
1	8155427	8221596	267	22	31	15	13	22	8	5	4	6	3	2	4	256	6	6	2	2	1	
1	8221609	8279568	239	30	34	33	15	21	23	9	6	10	3	5	4	231	12	15	6	6	2	
1	8279580	8335989	229	9	23	31	3	12	21	4	2	3	8	3	6	218	89	66	12	12	2	
1	8336016	8401441	155	7	25	13	1	21	6	2	4	2	2	4	2	80	183	31	1	1	1	
1	8401504	8468371	255	12	6	4	9	2	1	2	1	2	2	1	1	296	20	138	1	1	3	
1	8468440	8530859	322	6	9	6	3	6	4	2	1	1	1	1	1	375	8	109	3	3	2	
1	8530931	8593510	295	9	12	3	4	7	0	4	1	2	2	3	0	343	86	106	11	11	6	
1	8593555	8655238	235	6	54	16	0	39	5	5	1	5	10	1	9	189	45	81	4	4	3	
1	8655323	8729969	262	11	3	0	9	2	0	1	0	1	0	0	0	298	116	157	18	18	8	
1	8729981	8789814	331	17	31	2	14	28	0	2	0	2	1	1	1	302	78	23	10	10	2	
1	8789880	8870811	229	8	17	8	6	13	4	2	0	1	3	1	2	263	62	59	3	3	1	
1	8870854	8913250	235	10	29	13	6	26	7	0	4	1	2	3	2	260	79	57	9	9	1	
1	8913416	8986539	157	11	19	5	3	10	0	5	3	6	2	2	3	114	79	92	8	8	7	
1	8986650	9059671	217	7	7	6	4	3	4	2	1	2	1	1	1	222	49	101	6	6	7	
1	9059695	9132441	192	5	19	6	4	17	3	0	1	0	2	1	1	140	100	138	4	4	13	
1	9132531	9193491	273	8	20	2	5	16	0	2	0	2	2	1	1	283	30	23	1	1	0	
1	9193500	9318409	241	12	10	6	7	2	1	4	1	4	4	0	4	259	63	45	7	7	2	
1	9318460	9415500	238	7	16	5	5	11	2	1	0	2	3	0	3	207	57	114	8	8	2	
1	9415520	9524196	160	4	31	11	1	24	7	2	0	3	4	0	4	121	16	42	2	2	1	
1	9524218	9624557	276	10	10	26	7	6	22	1	2	2	2	1	2	280	29	93	3	3	2	
1	9624570	9730516	199	12	8	21	9	5	17	1	2	1	1	2	2	213	34	98	1	1	2	
1	9730793	9819447	202	18	8	8	15	5	4	0	2	1	2	1	3	175	50	78	11	11	1	
1	9819453	9905114	180	13	22	7	9	19	4	1	2	2	1	1	2	140	19	166	2	2	1	
1	9905116	9985786	227	8	16	12	3	10	8	3	1	4	2	1	3	170	57	128	0	0	4	
1	9985826	10071040	195	5	10	10	1	6	6	1	2	2	2	2	2	244	61	35	19	19	2	
1	10071096	10162792	274	22	20	2	17	14	0	5	0	4	2	1	0	302	50	12	13	13	0	
1	10162805	10233958	272	8	25	14	3	18	10	3	1	4	3	1	3	308	37	16	1	1	1	
1	10233986	10302415	286	19	11	11	13	9	5	2	4	0	2	5	0	332	34	98	13	13	2	
1	10302633	10361183	295	24	10	7	16	6	2	3	4	3	1	4	1	363	66	18	22	22	3	
1	10361220	10433232	236	17	16	9	11	12	3	1	5	2	1	3	3	240	31	102	2	2	0	
1	10433240	10506026	236	9	4	5	6	1	1	1	2	1	2	2	1	257	34	73	2	2	2	
1	10506032	10592576	265	0	16	0	0	15	0	0	0	0	0	0	0	311	31	215	16	16	13	
1	10592638	10663294	277	11	38	10	4	31	8	5	1	6	1	1	1	250	19	43	2	2	1	
1	10663388	10744848	260	14	18	6	7	11	1	3	3	6	1	1	4	294	60	6	12	12	0	
1	10744864	10856600	277	21	24	1	18	21	0	1	1	3	0	0	1	323	30	25	2	2	2	
1	10856712	10948353	235	15	30	9	4	18	4	8	3	9	2	1	4	165	15	21	3	3	0	
1	10948375	11016140	224	16	26	13	9	19	7	5	2	4	3	3	2	223	162	15	39	39	0	
1	11016223	11075743	315	11	15	7	4	9	2	4	3	4	2	2	2	349	22	28	5	5	2	
1	11075820	11161626	246	5	9	15	2	4	11	1	1	3	2	0	4	257	21	132	1	1	1	
1	11161770	11252560	220	6	10	10	2	6	6	2	2	1	2	3	1	235	86	128	14	14	5	
1	11253627	11377601	184	6	21	48	2	16	43	2	2	2	3	2	2	136	68	24	1	1	0	
1	11377809	11518980	162	1	1	32	0	0	29	0	1	0	1	1	1	168	69	62	0	0	0	
1	11518983	11662351	188	5	6	36	2	5	32	0	2	0	1	3	1	177	52	48	4	4	0	
1	11662392	11766807	211	18	56	30	12	44	22	5	1	5	6	1	7	61	93	23	7	7	1	
1	11766816	11841617	184	34	31	40	19	17	29	8	6	9	5	5	6	50	71	15	0	0	0	
1	11841638	11907666	310	4	25	3	3	20	0	1	0	1	3	0	3	359	34	55	7	7	1	
1	11907873	12004024	261	7	33	8	4	25	2	2	0	2	6	1	5	292	25	65	4	4	2	
1	12004044	12086834	232	10	22	12	4	11	6	5	1	5	5	1	5	198	31	129	2	2	1	
1	12086853	12168626	252	5	29	4	1	23	1	3	1	3	2	0	3	184	66	91	8	8	1	
1	12168813	12239050	271	15	30	4	8	21	1	6	1	7	2	0	2	275	23	40	4	4	4	
1	12239196	12329193	307	34	20	3	28	11	0	5	0	6	3	0	3	256	31	56	1	1	0	
1	12329229	12451468	207	7	61	6	5	56	2	1	1	1	3	0	4	134	22	21	1	1	0	
1	12451534	12556431	233	9	25	8	3	16	3	5	1	5	4	1	3	218	20	45	3	3	1	
1	12556500	12646420	221	10	8	6	7	3	4	3	0	2	2	0	2	269	17	8	2	2	0	
1	12646446	12754110	282	7	12	2	6	10	0	0	1	1	1	0	1	361	98	201	32	32	16	
1	12754119	12881642	260	10	9	1	8	7	0	1	1	2	0	0	0	273	65	81	9	9	2	
1	12881765	12987820	274	0	7	12	0	4	9	0	0	0	2	0	3	292	29	17	3	3	1	
1	12987839	13082327	317	5	13	5	2	9	1	2	1	1	2	2	2	373	29	12	5	5	1	
1	13082427	13205966	271	14	8	4	6	2	1	5	3	6	0	1	1	271	65	13	3	3	0	
1	13205987	13300118	258	4	4	5	2	1	3	1	1	1	1	0	2	310	42	11	4	4	0	
1	13300275	13407565	276	4	4	2	2	1	0	1	0	1	2	1	1	390	108	30	18	18	1	
1	13407607	13502823	249	3	12	1	0	9	0	2	1	2	0	1	0	251	159	10	7	7	0	
1	13502860	13593088	207	21	5	4	17	0	0	2	2	2	2	1	3	235	41	22	2	2	0	
1	13593177	13669076	237	5	10	15	0	5	10	2	2	3	2	2	3	227	8	112	0	0	1	
1	13669172	13746204	241	15	5	14	10	2	10	2	2	1	2	3	1	305	13	124	1	1	0	
1	13746238	13844769	238	3	14	5	1	8	1	2	0	1	4	1	3	293	61	67	13	13	3	
1	13844808	13966798	223	1	11	10	0	7	7	1	0	1	3	0	2	262	94	127	16	16	11	
1	13966844	14117612	198	0	18	2	0	17	1	0	0	0	0	0	1	201	101	126	5	5	1	
1	14117662	14220448	174	0	17	2	0	15	0	0	0	0	2	0	1	229	72	183	11	11	7	
1	14220457	14290382	163	22	7	3	20	3	1	1	0	2	2	0	2	222	101	80	22	22	6	
1	14290416	14367085	167	10	11	10	4	7	5	2	3	2	2	3	2	169	114	61	15	15	4	
1	14367091	14437933	204	3	36	11	0	32	8	2	1	2	1	1	2	230	83	170	21	21	15	
1	14437985	14524571	309	14	25	4	9	18	0	5	0	3	4	1	2	316	21	125	1	1	1	
1	14524703	14596051	227	11	19	13	9	15	10	2	0	1	2	1	2	272	67	103	10	10	0	
1	14596095	14677981	232	10	16	14	6	11	8	1	3	1	3	2	4	197	50	76	1	1	1	
1	14677992	14761448	231	11	11	12	7	6	8	2	1	3	2	1	3	268	95	95	27	27	7	
1	14761450	14849179	211	6	3	15	4	1	13	1	1	2	0	0	1	251	31	197	6	6	6	
1	14849195	14944777	233	3	23	8	2	20	5	1	0	0	2	1	2	204	23	182	2	2	0	
1	14944807	15025091	274	16	11	4	10	5	1	4	1	4	2	1	2	291	62	148	8	8	7	
1	15025197	15110969	297	6	6	4	4	3	2	1	1	1	1	0	2	359	20	99	1	1	1	
1	15110973	15248509	215	0	4	0	0	3	0	0	0	0	0	0	0	234	95	139	2	2	0	
1	15248573	15359491	273	7	23	4	4	19	1	2	1	2	2	1	1	257	54	120	3	3	0	
1	15359705	15436464	230	6	23	17	1	13	10	5	0	4	6	1	5	240	44	81	3	3	0	
1	15436471	15497382	251	5	15	6	3	12	3	0	1	2	1	0	3	282	160	113	53	53	22	
1	15497415	15562636	214	19	10	0	17	8	0	2	0	1	0	0	0	143	57	225	7	7	5	
1	15562671	15643765	206	23	29	23	15	16	15	6	2	6	6	2	6	199	26	165	11	11	15	
1	15643778	15794159	254	12	23	12	4	16	10	7	1	5	1	2	0	245	108	198	33	33	14	
1	15794239	15868383	338	10	69	9	6	63	7	3	1	4	1	0	2	319	38	76	8	8	7	
1	15868386	15935788	295	21	35	13	15	24	6	4	2	5	5	1	6	295	34	27	6	6	0	
1	15935798	16008001	210	9	3	3	5	1	0	1	2	2	0	2	1	345	237	100	87	87	36	
1	16008115	16068918	165	1	15	6	0	12	3	1	0	0	2	1	2	200	221	73	34	34	9	
1	16069157	16167507	172	8	25	10	4	19	5	2	1	2	4	1	4	134	39	96	2	2	2	
1	16167511	16251478	212	10	25	7	6	19	1	1	3	2	3	1	5	217	70	47	6	6	2	
1	16251506	16322708	227	19	23	9	13	16	6	5	0	4	3	2	1	192	46	138	2	2	3	
1	16322771	16383126	201	15	69	42	7	55	27	4	4	3	11	4	10	97	62	132	1	1	2	
1	16383296	16448311	247	8	27	43	3	20	36	2	3	3	3	2	5	290	43	27	3	3	1	
1	16448315	16517371	270	12	48	2	7	43	0	4	1	3	1	1	1	156	32	182	0	0	1	
1	16517439	16590555	139	25	32	20	17	25	11	3	5	2	4	6	3	32	97	17	6	6	2	
1	16590601	16653293	243	29	38	9	18	24	3	8	2	10	4	1	5	134	78	40	4	4	0	
1	16653410	16728662	242	17	5	7	14	2	3	0	2	1	2	1	3	211	17	83	2	2	0	
1	16728743	16789255	282	12	20	7	7	13	2	4	1	3	4	2	2	245	3	68	1	1	1	
1	16789451	16858643	243	5	40	13	0	31	7	3	1	4	5	1	5	216	1	59	0	0	1	
1	16858697	16927062	197	20	17	7	14	11	3	4	2	3	2	2	2	219	137	92	42	42	3	
1	16927160	17014856	198	19	49	18	6	37	8	7	6	7	4	6	4	102	56	13	1	1	0	
1	17014904	17087677	202	36	37	11	26	29	6	6	3	6	2	3	2	102	101	19	17	17	0	
1	17087740	17155998	189	19	48	19	10	35	11	7	2	6	6	2	6	15	23	113	2	2	6	
1	17156000	17221772	167	34	25	46	26	11	34	4	3	5	9	3	9	12	51	21	2	2	0	
1	17221821	17280727	190	20	43	30	10	32	19	5	5	5	6	5	5	12	10	152	0	0	4	
1	17280730	17342814	192	46	29	34	26	11	19	12	7	11	7	9	6	6	33	29	1	1	0	
1	17342873	17398485	203	34	58	47	20	39	29	7	6	7	12	6	12	17	36	21	1	1	0	
1	17398558	17465243	176	12	57	18	5	46	8	4	3	5	6	2	7	5	46	117	0	0	2	
1	17465253	17533164	183	19	61	11	7	47	3	9	2	9	5	3	5	19	90	27	6	6	4	
1	17533184	17614991	173	31	44	22	17	28	12	10	4	10	6	4	5	13	50	53	1	1	1	
1	17615012	17683918	183	33	34	36	21	20	20	5	7	6	8	6	9	9	13	81	2	2	3	
1	17683945	17762154	204	37	41	50	33	34	43	2	2	2	5	2	4	9	55	15	1	1	3	
1	17762279	17840311	218	38	46	57	21	29	45	12	5	10	6	7	5	12	18	5	1	1	0	
1	17840356	17906694	206	25	40	10	14	28	2	6	4	9	3	2	6	74	37	339	4	4	17	
1	17906695	17969094	198	6	48	11	2	39	5	4	0	2	6	2	4	94	60	356	8	8	36	
1	17969100	18067509	194	10	10	1	7	5	0	3	0	3	1	0	1	17	76	257	3	3	13	
1	18067572	18186780	209	22	60	4	10	48	0	9	2	10	2	2	2	12	161	110	1	1	3	
1	18186810	18294145	165	24	8	17	20	4	13	2	2	2	1	2	2	26	87	152	5	5	5	
1	18294313	18446164	154	27	13	0	21	7	0	5	0	6	0	0	0	10	29	157	0	0	3	
1	18446216	18521995	167	27	34	10	16	24	4	6	5	9	1	1	4	12	104	67	2	2	5	
1	18522083	18604052	141	30	36	7	22	29	3	7	1	4	2	4	0	15	77	84	1	1	5	
1	18604097	18724775	175	19	28	15	12	20	9	4	3	5	3	2	3	20	32	52	2	2	1	
1	18725419	18890207	127	2	10	4	0	7	3	1	0	2	1	0	1	11	108	20	3	3	2	
1	18890328	18974769	119	18	9	33	10	3	24	2	5	2	4	5	4	59	193	66	16	16	14	
1	18974864	19097212	258	11	37	6	3	26	0	7	1	6	4	2	4	223	61	170	7	7	10	
1	19097245	19209065	198	44	77	16	36	62	4	6	1	5	10	3	9	41	61	33	11	11	6	
1	19209113	19302096	218	32	66	20	20	55	15	8	3	9	2	2	3	15	35	25	0	0	5	
1	19302156	19379032	196	24	75	22	12	59	7	7	5	5	10	6	9	4	81	6	0	0	1	
1	19379113	19453359	143	17	20	6	9	14	1	5	3	5	1	3	1	110	311	53	45	45	22	
1	19453384	19513671	249	6	77	7	2	70	2	3	1	3	4	1	3	149	46	152	3	3	5	
1	19513800	19587449	240	13	32	11	6	28	7	4	3	2	1	4	0	215	52	66	10	10	5	
1	19587477	19663621	210	10	32	54	5	23	44	1	3	2	7	3	7	179	61	41	6	6	0	
1	19663750	19744662	278	7	19	5	4	14	2	2	1	2	2	1	2	278	64	30	11	11	0	
1	19744849	19860209	254	3	12	2	1	9	1	2	0	2	1	0	0	306	8	185	1	1	0	
1	19860372	19935097	290	6	43	3	3	38	0	2	1	2	2	1	2	258	11	76	1	1	0	
1	19935104	19994718	211	11	8	3	7	4	0	2	2	2	1	2	1	239	45	10	5	5	1	
1	19994852	20045358	255	5	26	22	2	20	16	2	0	1	5	2	4	265	102	78	19	19	3	
1	20045364	20109058	232	12	13	9	8	6	3	3	1	2	4	2	4	282	206	45	70	70	16	
1	20109263	20169106	247	3	18	9	1	14	6	1	0	1	3	0	3	354	117	42	33	33	1	
1	20169111	20241774	255	34	27	7	26	18	3	6	2	7	1	1	3	245	76	43	2	2	1	
1	20241810	20309738	246	13	5	0	10	2	0	2	0	3	0	0	0	357	209	92	73	73	23	
1	20309768	20375303	203	10	7	6	7	3	3	1	2	2	1	0	3	206	91	241	32	32	8	
1	20375304	20442675	219	6	22	8	2	18	4	2	1	2	2	2	2	260	79	60	8	8	1	
1	20442690	20509605	275	5	21	15	0	13	11	4	1	5	3	0	3	295	61	18	5	5	0	
1	20509645	20569828	258	6	4	6	2	1	5	2	1	3	0	0	1	305	74	189	12	12	3	
1	20570014	20624596	232	9	2	5	7	1	4	1	1	1	0	0	0	353	201	183	76	76	47	
1	20624611	20687408	294	2	2	4	0	0	2	1	0	0	2	1	1	425	127	129	36	36	17	
1	20687453	20750290	262	6	3	34	1	0	27	1	4	0	3	4	2	336	32	53	8	8	1	
1	20750310	20816174	223	0	11	3	0	9	1	0	0	0	2	0	1	301	21	141	6	6	2	
1	20816202	20878753	248	14	43	13	11	33	5	2	0	2	8	1	7	219	36	73	7	7	6	
1	20878831	20959315	193	1	17	6	0	15	4	0	0	0	2	1	1	234	23	103	3	3	2	
1	20959330	21036405	244	0	8	5	0	6	3	0	0	0	2	0	1	296	71	137	11	11	0	
1	21036424	21116533	216	6	3	7	3	0	4	2	1	1	2	1	1	263	122	93	22	22	14	
1	21116562	21179414	257	5	29	44	2	21	37	2	0	1	7	2	5	327	31	93	4	4	0	
1	21179483	21251517	240	16	7	13	11	4	11	3	2	3	0	1	0	245	58	156	6	6	3	
1	21251605	21334383	220	14	12	16	9	9	12	2	3	3	0	2	1	221	93	131	9	9	17	
1	21334411	21414856	254	5	15	0	1	11	0	4	0	3	0	0	0	304	51	111	3	3	1	
1	21414909	21534282	232	1	25	0	0	23	0	1	0	1	0	0	0	236	62	85	2	2	5	
1	21534299	21595638	345	84	45	13	62	30	1	13	9	11	3	11	1	138	27	52	2	2	2	
1	21595749	21668724	252	4	12	15	2	7	11	1	0	2	3	0	4	296	63	44	15	15	3	
1	21669166	21754694	210	18	15	4	12	10	0	3	3	3	1	3	1	187	62	76	6	6	2	
1	21754817	21853172	235	4	17	9	0	11	5	2	1	3	3	1	3	204	48	98	2	2	0	
1	21853230	21950972	278	3	11	0	1	8	0	2	0	2	0	0	0	249	16	247	0	0	1	
1	21950999	22025424	194	15	10	13	9	7	7	2	4	1	1	5	1	194	83	83	13	13	4	
1	22025485	22086156	258	1	9	5	0	4	0	1	0	1	4	0	4	320	16	242	5	5	2	
1	22086218	22176376	249	7	10	13	4	4	8	1	2	3	2	0	5	310	25	123	7	7	6	
1	22176497	22255273	211	6	22	10	4	18	6	0	2	1	2	1	3	243	61	118	6	6	0	
1	22255301	22349016	189	8	26	17	1	19	15	5	1	6	1	1	1	195	31	113	0	0	1	
1	22349134	22418340	252	2	8	11	0	6	8	0	2	1	1	1	1	324	11	146	4	4	2	
1	22418370	22475015	288	8	11	2	6	7	0	1	0	2	2	0	2	305	48	155	10	10	5	
1	22475033	22550548	327	26	16	8	20	10	5	5	1	3	2	2	1	343	44	12	0	0	0	
1	22550718	22609029	255	14	27	7	8	17	1	4	2	5	4	1	5	235	57	17	3	3	1	
1	22609080	22696211	201	8	2	15	4	0	11	2	2	0	1	4	0	233	63	157	6	6	8	
1	22696233	22766678	257	12	28	15	5	18	9	6	1	5	5	2	3	203	14	108	1	1	1	
1	22766733	22855964	295	24	54	6	11	42	2	10	3	11	1	2	1	194	10	63	0	0	2	
1	22856108	22951271	270	10	44	12	6	33	2	1	3	3	7	1	9	215	29	68	3	3	4	
1	22951288	23060159	252	8	21	20	5	14	14	1	2	2	4	1	5	297	8	11	5	5	2	
1	23060422	23230851	187	2	5	2	0	4	0	0	1	1	0	1	1	190	11	12	0	0	2	
1	23230981	23375784	126	1	10	1	0	7	0	1	0	1	1	0	1	124	12	11	2	2	1	
1	23376085	23543797	144	1	4	0	0	3	0	1	0	0	0	0	0	159	15	41	0	0	0	
1	23543829	23618196	253	4	13	1	1	10	0	2	0	2	1	1	0	306	32	165	0	0	0	
